trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm,landmarks_left,landmarks_right
262,tap,S2H_ABS,5,1,"(2,0)",68.228637,0.000000,23,0,0.000000,0.000000,"(0.308571,0.568808),(0.365905,0.549134),(0.414874,0.505517),(0.451048,0.466862),(0.479313,0.445137),(0.364887,0.399120),(0.384950,0.333342),(0.397748,0.291579),(0.408447,0.253730),(0.328606,0.385945),(0.333379,0.306229),(0.338809,0.257486),(0.343829,0.217054),(0.295782,0.391659),(0.288537,0.315917),(0.288555,0.267077),(0.291279,0.227269),(0.265405,0.414094),(0.234858,0.365518),(0.217312,0.331364),(0.203675,0.298941)","(0.308571,0.568808),(0.365905,0.549134),(0.414874,0.505517),(0.451048,0.466862),(0.479313,0.445137),(0.364887,0.399120),(0.384950,0.333342),(0.397748,0.291579),(0.408447,0.253730),(0.328606,0.385945),(0.333379,0.306229),(0.338809,0.257486),(0.343829,0.217054),(0.295782,0.391659),(0.288537,0.315917),(0.288555,0.267077),(0.291279,0.227269),(0.265405,0.414094),(0.234858,0.365518),(0.217312,0.331364),(0.203675,0.298941)"
262,tap,S2H_ABS,5,1,"(2,0)",132.187211,0.000000,23,0,0.000000,0.000000,"(0.308122,0.569750),(0.365658,0.549497),(0.414902,0.506108),(0.451049,0.467124),(0.479015,0.444995),(0.365315,0.398749),(0.384994,0.332958),(0.397813,0.291490),(0.408564,0.254153),(0.329302,0.385560),(0.333932,0.305799),(0.339263,0.257267),(0.344258,0.216747),(0.296543,0.391523),(0.289224,0.315445),(0.289109,0.266940),(0.291864,0.227134),(0.266296,0.414391),(0.235655,0.365768),(0.218010,0.331540),(0.204302,0.299044)","(0.308122,0.569750),(0.365658,0.549497),(0.414902,0.506108),(0.451049,0.467124),(0.479015,0.444995),(0.365315,0.398749),(0.384994,0.332958),(0.397813,0.291490),(0.408564,0.254153),(0.329302,0.385560),(0.333932,0.305799),(0.339263,0.257267),(0.344258,0.216747),(0.296543,0.391523),(0.289224,0.315445),(0.289109,0.266940),(0.291864,0.227134),(0.266296,0.414391),(0.235655,0.365768),(0.218010,0.331540),(0.204302,0.299044)"
262,tap,S2H_ABS,5,1,"(2,0)",197.050196,0.000000,23,0,1.000000,1.000000,"(0.308759,0.567408),(0.366156,0.548394),(0.414991,0.506173),(0.450282,0.467466),(0.477894,0.444303),(0.365552,0.398154),(0.385804,0.332217),(0.398486,0.290751),(0.409022,0.252782),(0.328982,0.384696),(0.333738,0.304908),(0.339077,0.256697),(0.344196,0.216503),(0.295883,0.390385),(0.288826,0.314248),(0.289255,0.265770),(0.292437,0.226289),(0.265350,0.412996),(0.235080,0.363684),(0.217928,0.329090),(0.204987,0.296390)","(0.308759,0.567408),(0.366156,0.548394),(0.414991,0.506173),(0.450282,0.467466),(0.477894,0.444303),(0.365552,0.398154),(0.385804,0.332217),(0.398486,0.290751),(0.409022,0.252782),(0.328982,0.384696),(0.333738,0.304908),(0.339077,0.256697),(0.344196,0.216503),(0.295883,0.390385),(0.288826,0.314248),(0.289255,0.265770),(0.292437,0.226289),(0.265350,0.412996),(0.235080,0.363684),(0.217928,0.329090),(0.204987,0.296390)"
262,tap,S2H_ABS,5,1,"(2,0)",264.183814,1.000000,23,0,2.000000,1.000000,"(0.307898,0.570469),(0.365467,0.550214),(0.414693,0.505689),(0.450498,0.466346),(0.478480,0.444139),(0.365425,0.398041),(0.385276,0.331714),(0.398158,0.290062),(0.409100,0.252195),(0.329146,0.384771),(0.333989,0.304819),(0.339551,0.256585),(0.344904,0.216504),(0.296331,0.390526),(0.289128,0.314428),(0.289345,0.266018),(0.292591,0.226326),(0.266006,0.413094),(0.236189,0.364173),(0.219295,0.330078),(0.206441,0.297887)","(0.307898,0.570469),(0.365467,0.550214),(0.414693,0.505689),(0.450498,0.466346),(0.478480,0.444139),(0.365425,0.398041),(0.385276,0.331714),(0.398158,0.290062),(0.409100,0.252195),(0.329146,0.384771),(0.333989,0.304819),(0.339551,0.256585),(0.344904,0.216504),(0.296331,0.390526),(0.289128,0.314428),(0.289345,0.266018),(0.292591,0.226326),(0.266006,0.413094),(0.236189,0.364173),(0.219295,0.330078),(0.206441,0.297887)"
262,tap,S2H_ABS,5,1,"(2,0)",329.325061,2.000000,23,0,2.000000,1.000000,"(0.308374,0.571034),(0.365532,0.550846),(0.414377,0.506178),(0.449996,0.466960),(0.478008,0.444950),(0.365828,0.397426),(0.386063,0.331651),(0.398860,0.290083),(0.409448,0.251762),(0.329422,0.384034),(0.334082,0.304309),(0.339296,0.256258),(0.344435,0.216460),(0.296399,0.389749),(0.289346,0.313636),(0.290015,0.265403),(0.293598,0.226297),(0.265729,0.412507),(0.235786,0.363430),(0.218782,0.328974),(0.205936,0.296689)","(0.308374,0.571034),(0.365532,0.550846),(0.414377,0.506178),(0.449996,0.466960),(0.478008,0.444950),(0.365828,0.397426),(0.386063,0.331651),(0.398860,0.290083),(0.409448,0.251762),(0.329422,0.384034),(0.334082,0.304309),(0.339296,0.256258),(0.344435,0.216460),(0.296399,0.389749),(0.289346,0.313636),(0.290015,0.265403),(0.293598,0.226297),(0.265729,0.412507),(0.235786,0.363430),(0.218782,0.328974),(0.205936,0.296689)"
262,tap,S2H_ABS,5,1,"(2,0)",402.985881,2.000000,23,0,2.000000,2.000000,"(0.309014,0.569818),(0.366077,0.549962),(0.414983,0.505582),(0.450527,0.466164),(0.478071,0.443830),(0.365696,0.398638),(0.385534,0.332488),(0.398348,0.290980),(0.409244,0.252906),(0.329461,0.385289),(0.334102,0.305377),(0.339412,0.256956),(0.344780,0.216785),(0.296601,0.390921),(0.289371,0.314635),(0.289728,0.266376),(0.292976,0.227214),(0.266231,0.413319),(0.236099,0.363953),(0.218816,0.329488),(0.205640,0.297069)","(0.309014,0.569818),(0.366077,0.549962),(0.414983,0.505582),(0.450527,0.466164),(0.478071,0.443830),(0.365696,0.398638),(0.385534,0.332488),(0.398348,0.290980),(0.409244,0.252906),(0.329461,0.385289),(0.334102,0.305377),(0.339412,0.256956),(0.344780,0.216785),(0.296601,0.390921),(0.289371,0.314635),(0.289728,0.266376),(0.292976,0.227214),(0.266231,0.413319),(0.236099,0.363953),(0.218816,0.329488),(0.205640,0.297069)"
262,tap,S2H_ABS,5,1,"(2,0)",464.174277,3.000000,23,0,3.000000,2.000000,"(0.309790,0.569641),(0.366526,0.549820),(0.415481,0.505074),(0.451085,0.465963),(0.479039,0.443970),(0.365998,0.399025),(0.385640,0.332568),(0.398577,0.290809),(0.409782,0.252753),(0.329677,0.386067),(0.334319,0.305651),(0.339547,0.257094),(0.344996,0.216719),(0.296790,0.391785),(0.289814,0.315143),(0.290243,0.266404),(0.293727,0.226621),(0.266527,0.414131),(0.236531,0.364837),(0.219370,0.330412),(0.206368,0.297879)","(0.309790,0.569641),(0.366526,0.549820),(0.415481,0.505074),(0.451085,0.465963),(0.479039,0.443970),(0.365998,0.399025),(0.385640,0.332568),(0.398577,0.290809),(0.409782,0.252753),(0.329677,0.386067),(0.334319,0.305651),(0.339547,0.257094),(0.344996,0.216719),(0.296790,0.391785),(0.289814,0.315143),(0.290243,0.266404),(0.293727,0.226621),(0.266527,0.414131),(0.236531,0.364837),(0.219370,0.330412),(0.206368,0.297879)"
262,tap,S2H_ABS,5,1,"(2,0)",529.336672,3.000000,23,0,5.000000,2.000000,"(0.311088,0.565460),(0.367716,0.547545),(0.416406,0.504651),(0.452001,0.466310),(0.479881,0.444547),(0.366194,0.398221),(0.386343,0.332797),(0.399458,0.291438),(0.410664,0.253644),(0.329869,0.384919),(0.334302,0.305070),(0.339616,0.256920),(0.344954,0.216789),(0.297122,0.390538),(0.289619,0.314715),(0.289939,0.266340),(0.293156,0.226788),(0.267192,0.412834),(0.236356,0.364535),(0.218683,0.330280),(0.205308,0.297537)","(0.311088,0.565460),(0.367716,0.547545),(0.416406,0.504651),(0.452001,0.466310),(0.479881,0.444547),(0.366194,0.398221),(0.386343,0.332797),(0.399458,0.291438),(0.410664,0.253644),(0.329869,0.384919),(0.334302,0.305070),(0.339616,0.256920),(0.344954,0.216789),(0.297122,0.390538),(0.289619,0.314715),(0.289939,0.266340),(0.293156,0.226788),(0.267192,0.412834),(0.236356,0.364535),(0.218683,0.330280),(0.205308,0.297537)"
262,tap,S2H_ABS,5,1,"(2,0)",597.163821,4.000000,23,0,6.414214,3.414214,"(0.311666,0.566922),(0.367989,0.548417),(0.416742,0.504583),(0.452668,0.466027),(0.480542,0.444213),(0.366855,0.398987),(0.387065,0.333567),(0.400160,0.291887),(0.411244,0.253959),(0.330782,0.385818),(0.335411,0.305368),(0.340554,0.256765),(0.345583,0.216471),(0.298301,0.391442),(0.290980,0.315305),(0.291194,0.266514),(0.294159,0.226371),(0.268577,0.413698),(0.237874,0.365191),(0.220483,0.331118),(0.207152,0.298620)","(0.311666,0.566922),(0.367989,0.548417),(0.416742,0.504583),(0.452668,0.466027),(0.480542,0.444213),(0.366855,0.398987),(0.387065,0.333567),(0.400160,0.291887),(0.411244,0.253959),(0.330782,0.385818),(0.335411,0.305368),(0.340554,0.256765),(0.345583,0.216471),(0.298301,0.391442),(0.290980,0.315305),(0.291194,0.266514),(0.294159,0.226371),(0.268577,0.413698),(0.237874,0.365191),(0.220483,0.331118),(0.207152,0.298620)"
262,tap,S2H_ABS,5,1,"(2,0)",664.288951,9.000000,23,0,7.828427,6.576491,"(0.313527,0.569744),(0.370103,0.550029),(0.418740,0.505910),(0.454381,0.467510),(0.481487,0.445588),(0.368919,0.399764),(0.388570,0.334012),(0.401553,0.292306),(0.412668,0.254335),(0.333272,0.386985),(0.337326,0.306357),(0.342456,0.257706),(0.347695,0.217455),(0.301040,0.392673),(0.293254,0.316333),(0.293347,0.267589),(0.296520,0.227647),(0.271384,0.414772),(0.240336,0.365535),(0.222898,0.331085),(0.209705,0.298607)","(0.313527,0.569744),(0.370103,0.550029),(0.418740,0.505910),(0.454381,0.467510),(0.481487,0.445588),(0.368919,0.399764),(0.388570,0.334012),(0.401553,0.292306),(0.412668,0.254335),(0.333272,0.386985),(0.337326,0.306357),(0.342456,0.257706),(0.347695,0.217455),(0.301040,0.392673),(0.293254,0.316333),(0.293347,0.267589),(0.296520,0.227647),(0.271384,0.414772),(0.240336,0.365535),(0.222898,0.331085),(0.209705,0.298607)"
